(7277, u'hi', u'(1,2)', u'2015-01-19 22:59:41', u'2015-01-19 23:00:10', None, 917.0)
(7276, u'hi', u'(NaN,NaN)', u'2015-01-19 23:00:10', u'2015-01-19 23:00:08', None, 880.0)
(7275, u'hi', u'(1,2)', u'2015-01-19 22:59:36', u'2015-01-19 23:00:05', None, 1469.0)
(7274, u'hi', u'(NaN,NaN)', u'2015-01-19 23:00:05', u'2015-01-19 23:00:03', None, 880.0)
(7273, u'hi', u'(1,2)', u'2015-01-19 22:59:31', u'2015-01-19 23:00:00', None, 1044.0)
(7272, u'hi', u'(NaN,NaN)', u'2015-01-19 23:00:00', u'2015-01-19 22:59:58', None, 880.0)
(7271, u'hi', u'(1,2)', u'2015-01-19 22:59:26', u'2015-01-19 22:59:55', None, 1044.0)
(7270, u'hi', u'(1,2)', u'2015-01-19 22:59:21', u'2015-01-19 22:59:50', None, 1044.0)
(7269, u'hi', u'(1,2)', u'2015-01-19 22:59:16', u'2015-01-19 22:59:45', None, 1044.0)
(7268, u'hi', u'(1,2)', u'2015-01-19 22:59:11', u'2015-01-19 22:59:40', None, 1044.0)
(7267, u'hi', u'(1,2)', u'2015-01-19 22:59:06', u'2015-01-19 22:59:35', None, 1044.0)
(7266, u'hi', u'(1,2)', u'2015-01-19 22:59:01', u'2015-01-19 22:59:30', None, 1044.0)
(7265, u'hi', u'(1,2)', u'2015-01-19 22:58:56', u'2015-01-19 22:59:25', None, 1044.0)
(7264, u'hi', u'(1,2)', u'2015-01-19 22:58:51', u'2015-01-19 22:59:20', None, 1044.0)
(7263, u'hi', u'(1,2)', u'2015-01-19 22:58:46', u'2015-01-19 22:59:15', None, 1044.0)
(7262, u'hi', u'(1,2)', u'2015-01-19 22:58:41', u'2015-01-19 22:59:10', None, 1044.0)
(7261, u'hi', u'(NaN,NaN)', u'2015-01-19 22:59:11', u'2015-01-19 22:59:09', None, 880.0)
(7260, u'hi', u'(1,2)', u'2015-01-19 22:58:36', u'2015-01-19 22:59:05', None, 1044.0)
(7259, u'hi', u'(1,2)', u'2015-01-19 22:58:31', u'2015-01-19 22:59:00', None, 1044.0)
(7258, u'hi', u'(12,14)', u'2015-01-19 22:58:58', u'2015-01-19 22:58:57', None, 880.0)
(7257, u'hi', u'(1,2)', u'2015-01-19 22:58:26', u'2015-01-19 22:58:55', None, 1044.0)
(7256, u'hi', u'(12,14)', u'2015-01-19 22:58:53', u'2015-01-19 22:58:52', None, 880.0)
(7255, u'hi', u'(1,2)', u'2015-01-19 22:58:21', u'2015-01-19 22:58:50', None, 1044.0)
(7254, u'hi', u'(12,14)', u'2015-01-19 22:58:48', u'2015-01-19 22:58:47', None, 880.0)
(7253, u'hi', u'(1,2)', u'2015-01-19 22:58:16', u'2015-01-19 22:58:45', None, 1067.0)
(7252, u'hi', u'(12,14)', u'2015-01-19 22:58:43', u'2015-01-19 22:58:42', None, 880.0)
(7251, u'hi', u'(1,2)', u'2015-01-19 22:58:11', u'2015-01-19 22:58:40', None, 1142.0)
(7250, u'hi', u'(12,14)', u'2015-01-19 22:58:38', u'2015-01-19 22:58:37', None, 880.0)
(7249, u'hi', u'(1,2)', u'2015-01-19 22:58:06', u'2015-01-19 22:58:35', None, 1135.0)
(7248, u'hi', u'(12,14)', u'2015-01-19 22:58:33', u'2015-01-19 22:58:32', None, 880.0)
